,row_no,FIPS,date,rainfall,county_name
454,454,26003,2013-11-01,139.475,Alger
455,455,26003,2013-12-01,63.3,Alger
456,456,26003,2014-01-01,78.975,Alger
457,457,26003,2014-02-01,41.6,Alger
458,458,26003,2014-03-01,52.15,Alger
459,459,26003,2014-04-01,91.5,Alger
460,460,26003,2014-05-01,87.25,Alger
461,461,26003,2014-06-01,91.4,Alger
462,462,26003,2014-07-01,101.43333333333334,Alger
463,463,26003,2014-08-01,82.65,Alger
464,464,26003,2014-09-01,83.325,Alger
465,465,26003,2014-10-01,168.35,Alger
466,466,26003,2014-11-01,145.0,Alger
467,467,26003,2014-12-01,54.2,Alger
468,468,26003,2015-01-01,57.025,Alger
469,469,26003,2015-02-01,52.875,Alger
470,470,26003,2015-03-01,32.1,Alger
471,471,26003,2015-04-01,58.275,Alger
472,472,26003,2015-05-01,125.7,Alger
473,473,26003,2015-06-01,68.675,Alger
474,474,26003,2015-07-01,66.30000000000001,Alger
475,475,26003,2015-08-01,48.425,Alger
476,476,26003,2015-09-01,56.775,Alger
477,477,26003,2015-10-01,97.1,Alger
478,478,26003,2015-11-01,91.9,Alger
479,479,26003,2015-12-01,128.675,Alger
480,480,26003,2016-01-01,97.45,Alger
481,481,26003,2016-02-01,67.9,Alger
482,482,26003,2016-03-01,61.925,Alger
483,483,26003,2016-04-01,73.675,Alger
484,484,26003,2016-05-01,86.1,Alger
485,485,26003,2016-06-01,71.8,Alger
486,486,26003,2016-07-01,85.95,Alger
487,487,26003,2016-08-01,95.575,Alger
488,488,26003,2016-09-01,121.525,Alger
489,489,26003,2016-10-01,170.75,Alger
490,490,26003,2016-11-01,46.725,Alger
491,491,26003,2016-12-01,97.73333333333332,Alger
492,492,26003,2017-01-01,74.32,Alger
493,493,26003,2017-02-01,72.12,Alger
494,494,26003,2017-03-01,57.24,Alger
495,495,26003,2017-04-01,136.05,Alger
496,496,26003,2017-05-01,112.24,Alger
497,497,26003,2017-06-01,176.56,Alger
498,498,26003,2017-07-01,51.54,Alger
499,499,26003,2017-08-01,114.5,Alger
500,500,26003,2017-09-01,71.44,Alger
501,501,26003,2017-10-01,185.98,Alger
502,502,26003,2017-11-01,72.46,Alger
503,503,26003,2017-12-01,93.94,Alger
504,504,26003,2018-01-01,72.02000000000001,Alger
505,505,26003,2018-02-01,42.8,Alger
506,506,26003,2018-03-01,31.4,Alger
507,507,26003,2018-04-01,57.6,Alger
508,508,26003,2018-05-01,40.4,Alger
509,509,26003,2018-06-01,103.36,Alger
510,510,26003,2018-07-01,116.48,Alger
511,511,26003,2018-08-01,96.42,Alger
512,512,26003,2018-09-01,139.48,Alger
513,513,26003,2018-10-01,210.12,Alger
514,514,26003,2018-11-01,83.17999999999999,Alger
515,515,26003,2018-12-01,48.34,Alger
516,516,26003,2019-01-01,86.64,Alger
517,517,26003,2019-02-01,122.52,Alger
518,518,26003,2019-03-01,32.7,Alger
519,519,26003,2019-04-01,74.84,Alger
520,520,26003,2019-05-01,145.7,Alger
521,521,26003,2019-06-01,68.375,Alger
522,522,26003,2019-07-01,32.52,Alger
523,523,26003,2019-08-01,76.22,Alger
524,524,26003,2019-09-01,151.12,Alger
525,525,26003,2019-10-01,160.64,Alger
526,526,26003,2019-11-01,99.82,Alger
527,527,26003,2019-12-01,128.07999999999998,Alger
528,528,26003,2020-01-01,81.67999999999999,Alger
529,529,26003,2020-02-01,33.84,Alger
530,530,26003,2020-03-01,91.66,Alger
531,531,26003,2020-04-01,65.47999999999999,Alger
532,532,26003,2020-05-01,53.66,Alger
533,533,26003,2020-06-01,115.2,Alger
534,534,26003,2020-07-01,169.52,Alger
535,535,26003,2020-08-01,100.04,Alger
536,536,26003,2020-09-01,97.4,Alger
537,537,26003,2020-10-01,124.86,Alger
538,538,26003,2020-11-01,85.67999999999999,Alger
539,539,26003,2020-12-01,40.2,Alger
540,540,26003,2021-01-01,38.98,Alger
541,541,26003,2021-02-01,49.24,Alger
542,542,26003,2021-03-01,52.9,Alger
543,543,26003,2021-04-01,86.18,Alger
544,544,26003,2021-05-01,25.18,Alger
545,545,26003,2021-06-01,104.6,Alger
546,546,26003,2021-07-01,57.11666666666667,Alger
547,547,26003,2021-08-01,46.86,Alger
548,548,26003,2021-09-01,85.61666666666667,Alger
549,549,26003,2021-10-01,75.97999999999999,Alger
550,550,26003,2021-11-01,125.24,Alger
551,551,26003,2021-12-01,85.05,Alger
552,552,26003,2022-01-01,55.457142857142856,Alger
